"user","number_of_classifications","variation","unique_count","new_image_count"
355,6567,5.19901419199715,1068,6563
111,5722,5.86911457382931,314,684
332,85,6.01521087488262,4,11
176,71,7.87265447564159,2,10
52,1818,8.10645560975407,3,13
250,1458,10.3716840879517,10,43
350,501,11.7022755666062,10,30
30,2366,12.0233170929452,32,69
246,134,12.1581679565002,31,40
363,129,13.6320907361519,0,3
377,69,14.4231117158434,2,5
187,78,14.5484546266683,1,2
319,549,14.8093366488124,84,101
281,3058,16.0336396746067,209,223
207,340,16.6369620894709,1,1
161,72,18.5937753036146,1,1
173,46,19.6770746871961,4,4
362,133,24.170814282617,18,18
327,203,30.813219609453,2,2
351,126,99.6665111875589,2,2
199,30,100,4,4
271,25,100,1,1
